ResourceType      Locations      Name                  Zones    Restrictions
----------------  -------------  --------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------
availabilitySets  southeastasia  Aligned                        None
availabilitySets  southeastasia  Classic                        None
virtualMachines   southeastasia  Standard_D32ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D32d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D32s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D32s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D32_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D32_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D3_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D48_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D4_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D5_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D64_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_D8_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DC1s_v2      2,3      None
virtualMachines   southeastasia  Standard_DC2s_v2      2,3      None
virtualMachines   southeastasia  Standard_DC4s_v2      2,3      None
virtualMachines   southeastasia  Standard_DC8_v2       2,3      None
virtualMachines   southeastasia  Standard_DS11-1_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS11_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS12-1_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS12-2_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS12_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS13-2_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS13-4_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS13_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS14-4_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS14-8_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS14_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS1_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS2_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS3_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS4_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_DS5_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16-4ds_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16-4s_v3    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E16-4s_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
